x,y,prediction,squared_error
1.0,11.0,1.0244499999999999,99.5115978025
2.0,27.0,2.033792,623.3115418992641
3.0,7.0,3.043134,15.656788541956002
4.0,-4.0,4.0524759999999995,64.84236973057598
5.0,27.0,5.061818,481.28382946512403
6.0,-5.0,6.071159999999999,122.57058374559998
7.0,11.0,7.080501999999999,15.362464572004006
8.0,32.0,8.089844,571.6955599443361
9.0,54.0,9.099186,2016.0830978625957
10.0,18.0,10.108528,62.275330326784
11.0,25.0,11.11787,192.7135333369
12.0,16.0,12.127211999999998,14.998486892944014
13.0,19.0,13.136553999999999,34.379998994916015
14.0,35.0,14.145895999999999,434.893653642816
15.0,67.0,15.155237999999999,2687.8793468366443
16.0,53.0,16.16458,1356.8481665764
17.0,60.0,17.173922,1834.0729568620836
18.0,47.0,18.183264,830.4042736936959
19.0,29.0,19.192606,96.18497707123598
20.0,51.0,20.201948,948.5200069947039
21.0,85.0,21.21129,4068.999523464099
22.0,37.0,22.220632000000002,218.42971847942394
23.0,62.0,23.229974000000002,1503.114916040676
24.0,85.0,24.239316,3691.860720147856
25.0,74.0,25.248658,2376.6933468009643
26.0,85.0,26.258,3450.6225640000007
27.0,52.0,27.267342,611.7043717449641
28.0,113.0,28.276684,7178.040274035856
29.0,77.0,29.286026,2276.623314872676
30.0,92.0,30.295368,3807.4616102554246
31.0,74.0,31.30471,1822.8877881841
32.0,123.0,32.314052,8223.941164658703
33.0,90.0,33.32339399999999,3212.237667679237
34.0,115.0,34.332736,6507.207481245697
35.0,99.0,35.342077999999994,4052.331033358085
36.0,126.0,36.35142,8036.867896016402
37.0,107.0,37.360761999999994,4849.623469220644
38.0,142.0,38.370104,10739.155344970817
39.0,128.0,39.379445999999994,7853.602591266916
40.0,117.0,40.388788,5869.277804108943
41.0,152.0,41.398129999999995,12232.7736474969
42.0,111.0,42.407472,4704.934897430784
43.0,113.0,43.416813999999995,4841.819773910598
44.0,148.0,44.426156,10727.541160936338
45.0,155.0,45.435497999999995,12004.380098508005
46.0,151.0,46.44484,10931.7814826256
47.0,165.0,47.454181999999996,13817.019329289124
48.0,165.0,48.46352399999999,13580.750238498578
49.0,173.0,49.472865999999996,15258.952834253956
50.0,122.0,50.48220799999999,5114.794572555266
51.0,159.0,51.49155,11558.066821402503
52.0,176.0,52.50089199999999,15252.029676795666
53.0,135.0,53.510234,6640.581962734756
54.0,152.0,54.519575999999994,9502.433063219776
55.0,143.0,55.528918,7651.190186250723
56.0,176.0,56.538259999999994,14271.107323827602
57.0,158.0,57.547602,10090.684263950405
58.0,147.0,58.556943999999994,7822.174154619138
59.0,171.0,59.566286,12417.472615833798
60.0,209.0,60.575627999999995,22029.794203594385
61.0,166.0,61.58497,10902.4984899009
62.0,205.0,62.594311999999995,20279.379974753345
63.0,216.0,63.603654,23224.646274151713
64.0,170.0,64.612996,11106.420612096017
65.0,190.0,65.622338,15469.802804586245
66.0,220.0,66.63167999999999,23521.841579622404
67.0,172.0,67.64102199999999,10890.796289204485
68.0,193.0,68.650364,15462.831973332497
69.0,204.0,69.659706,18047.314592006434
70.0,226.0,70.66904799999999,24127.70464922631
71.0,242.0,71.67839,29009.45083299211
72.0,192.0,72.687732,14235.417295303825
73.0,232.0,73.697074,25059.81638016148
74.0,199.0,74.70641599999999,15448.89502356506
75.0,241.0,75.715758,27318.880653514567
76.0,232.0,76.7251,24110.29457001
77.0,214.0,77.734442,18568.302297051363
78.0,220.0,78.74378399999999,19953.318558638653
79.0,242.0,79.753126,26324.048122771874
80.0,259.0,80.762468,31768.61781345102
81.0,252.0,81.77180999999999,28977.636670676104
82.0,219.0,82.78115199999999,18555.574550447105
83.0,220.0,83.790494,18553.02952476404
84.0,227.0,84.799836,20220.886641626897
85.0,278.0,85.80917799999999,36937.31206103569
86.0,269.0,86.81851999999999,33190.09165499041
87.0,234.0,87.827862,21366.29392749105
88.0,287.0,88.837204,39268.49371853762
89.0,265.0,89.84654599999999,30678.73244813012
90.0,257.0,90.855888,27603.865952268545
91.0,268.0,91.86523,31023.4572029529
92.0,289.0,92.874572,38465.18350818318
93.0,282.0,93.88391399999999,35387.66181195939
94.0,261.0,94.893256,27591.450402281534
95.0,290.0,95.902598,37673.8014631496
96.0,271.0,96.91193999999999,30306.652634563605
97.0,291.0,97.92128199999999,37279.39134452353
98.0,311.0,98.930624,44973.42023702938
99.0,281.0,99.939966,32782.73591208116
100.0,277.0,100.94930799999999,30993.846153678875
1.0,11.0,3.0311673043314205,63.50229453155656
2.0,27.0,6.0135712400722685,440.4301920955219
3.0,7.0,8.995975175813117,3.9839169024622016
4.0,-4.0,11.978379111553965,255.30859903254407
5.0,27.0,14.960783047294813,144.94274483430397
6.0,-5.0,17.943186983035663,526.3898289385371
7.0,11.0,20.92559091877651,98.51735508689873
8.0,32.0,23.90799485451736,65.48054727451755
9.0,54.0,26.890398790258207,734.9304777512338
10.0,18.0,29.872802725999055,140.9634445704906
11.0,25.0,32.8552066617399,61.70427169864289
12.0,16.0,35.83761059748075,393.53079421728046
13.0,19.0,38.820014533221595,392.83297609711525
14.0,35.0,41.80241846896244,46.27289702688135
15.0,67.0,44.78482240470329,493.5141155905728
16.0,53.0,47.76722634044414,27.381920172141633
17.0,60.0,50.74963027618499,85.56934002727343
18.0,47.0,53.732034211925836,45.32028463053991
19.0,29.0,56.714438147666684,768.0900818408423
20.0,51.0,59.69684208340753,75.63506222372826
21.0,85.0,62.67924601914838,498.2160582737034
22.0,37.0,65.66164995488923,821.4901781366017
23.0,62.0,68.64405389063008,44.14345210159665
24.0,85.0,71.62645782637092,178.8516302698355
25.0,74.0,74.60886176211177,0.37071264536185206
26.0,85.0,77.59126569785262,54.88934395981522
27.0,52.0,80.57366963359347,816.4545963297414
28.0,113.0,83.55607356933432,866.9448036544533
29.0,77.0,86.53847750507516,90.98255311482492
30.0,92.0,89.52088144081601,6.146028830490491
31.0,74.0,92.50328537655686,342.37156972630294
32.0,123.0,95.48568931229771,757.0372926194085
33.0,90.0,98.46809324803856,71.70860325747618
34.0,115.0,101.4504971837794,183.58902656676986
35.0,99.0,104.43290111952025,29.516414574484415
36.0,126.0,107.4153050552611,345.3908861890036
37.0,107.0,110.39770899100195,11.54442638753548
38.0,142.0,113.3801129267428,819.0979360859948
39.0,128.0,116.36251686248364,135.4310137759775
40.0,117.0,119.34492079822449,5.498653549945793
41.0,152.0,122.32732473396534,880.467657443545
42.0,111.0,125.30972866970619,204.76833460061127
43.0,113.0,128.29213260544705,233.84931962257681
44.0,148.0,131.2745365411879,279.74112791205886
45.0,155.0,134.25694047692875,430.274518377677
46.0,151.0,137.2393444126696,189.3556421931275
47.0,165.0,140.22174834841044,613.9617549095005
48.0,165.0,143.2041522841513,475.0589776524674
49.0,173.0,146.18655621989214,718.9607673490049
50.0,122.0,149.168960155633,738.1523959383728
51.0,159.0,152.15136409137384,46.90381380892373
