,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,x,y,prediction,squared_error,prediction,squared_error,prediction,squared_error,prediction,squared_error,prediction,squared_error,prediction,squared_error,prediction,squared_error,,,,,,,,
,1,11,1.02445,99.5115978025,3.03116730433142,63.5022945315566,3.03529797978489,63.4364782708187,3.03941849733034,63.3708578606464,3.04352888194748,63.3054326524039,3.04762915855461,63.2402019998709,3.05171935200873,63.1751652592326,3.05579948710572,63.1103217890697,3.06392968110713,62.9812121064125,1.02445,99.5115978025,3.03116730433142,63.5022945315566
,2,27,2.033792,623.311541899264,6.01357124007227,440.430192095522,6.01763932491035,440.259459499549,6.02169740575948,440.089179735518,6.02574550722087,439.919351527865,6.02978365383522,439.749973604956,6.0338118700829,439.581044699077,6.03783018038406,439.412563546417,6.04583718052735,439.07693946497,2.033792,623.311541899264,6.01357124007227,440.430192095522
,3,7,3.043134,15.656788541956,8.99597517581312,3.9839169024622,8.99998067003582,3.99992268051691,9.00397631418863,4.01592106782905,9.00796213249426,4.0319119255309,9.01193814911584,4.04789511586767,9.01590438815707,4.06387050219094,9.0198608736624,4.07983794895222,9.02774467994757,4.11174848705566,3.043134,15.656788541956,8.99597517581312,3.9839169024622
,4,-4,4.052476,64.842369730576,11.978379111554,255.308599032544,11.9823220151613,255.434616996309,11.9862552226178,255.560356042674,11.9901787577677,255.685816705364,11.9940926443965,255.810999517537,11.9979969062312,255.935905011784,12.0018915669407,256.060533720129,12.0096521793678,256.308962904336,4.052476,64.842369730576,11.978379111554,255.308599032544
,5,27,5.061818,481.283829465124,14.9607830472948,144.942744834304,14.9646633602867,144.849328031224,14.9685341310469,144.756170955783,14.972395383041,144.663272821892,14.9762471396771,144.570632846124,14.9800894243054,144.478250247695,14.9839222602191,144.386124248459,14.991559678788,144.20263894811,5.061818,481.283829465124,14.9607830472948,144.942744834304
,6,-5,6.07116,122.5705837456,17.9431869830357,526.389828938537,17.9470047054122,526.56502495021,17.9508130394761,526.739819172985,17.9546120083144,526.914212452253,17.9584016349577,527.088205632028,17.9621819423796,527.261799554943,17.9659529534974,527.434995062256,17.9734671782082,527.780194188211,6.07116,122.5705837456,17.9431869830357,526.389828938537
,7,11,7.080502,15.362464572004,20.9255909187765,98.5173550868987,20.9293460505377,98.5919129913281,20.9330919479052,98.6663156455396,20.9368286335878,98.7405632932909,20.9405561302383,98.8146561784183,20.9442744604538,98.8885945448329,20.9479836467757,98.9623786365177,20.9553746776285,99.1094849719659,7.080502,15.362464572004,20.9255909187765,98.5173550868987
,8,32,8.089844,571.695559944336,23.9079948545174,65.4805472745176,23.9116873956631,65.4208007854745,23.9153708563344,65.3612283906077,23.9190452588612,65.3018295283334,23.9227106255189,65.242603639105,23.9263669785279,65.1835501654042,23.9300143400541,65.1246685517327,23.9372821770487,65.0074186925369,8.089844,571.695559944336,23.9079948545174,65.4805472745176
,9,54,9.099186,2016.0830978626,26.8903987902582,734.930477751234,26.8940287407886,734.733677905194,26.8976497647635,734.537388273423,26.9012618841346,734.341607472256,26.9048651207995,734.146334122066,26.9084594966021,733.951566847249,26.9120450333324,733.757304276211,26.9191896764689,733.370287779069,9.099186,2016.0830978626,26.8903987902582,734.930477751234
,10,18,10.108528,62.275330326784,29.8728027259991,140.963444570491,29.8763700859141,141.048166417595,29.8799286731927,141.132705280145,29.883478509408,141.217061483562,29.8870196160802,141.301235353074,29.8905520146763,141.385227213722,29.8940757266108,141.469037390351,29.9010971758891,141.636113989956,10.108528,62.275330326784,29.8728027259991,140.963444570491
